貼文時間,貼文ID,貼文內容,分享內容,讚數,分享數
2017-07-03 10:07:43+00:00,360450250740751_1344108315708268,"【 遇見夏天 小米旅行季 7/4-7/11 】
和小米一起探索夏日的熱情，享受旅行的悠然樂趣，#小米旅行季 明天早上10點開始：
💦 每天早上10點，登入小米帳號天天領取NT$50、NT$120、NT$200 現金券
💦 夏日新機好禮送
💦 舒適生活驚喜折扣
超多優惠，明早10點 mi.com 不見不散！
活動規則請見 👉🏻 bit.ly/2uzSIGT
#和小米一起去旅行",小米台灣 Mi Taiwan updated their cover photo.,296,9
2017-07-03 04:36:07+00:00,360450250740751_1343843245734775,小米旅行季 活動規則,小米台灣 Mi Taiwan published a note.,233,0
2017-07-03 04:19:00+00:00,360450250740751_1343834899068943,"【 遇見夏天 小米旅行季 7/4-7/11 】
和小米一起探索夏日的熱情，享受旅行的悠然樂趣，#小米旅行季 明天早上10點開始：

💦 每天早上10點，登入小米帳號天天領取NT$50、NT$120、NT$200 現金券
💦 夏日新機好禮送
💦 舒適生活驚喜折扣

超多優惠，明早10點 mi.com 不見不散！
活動規則請見 👉🏻 bit.ly/2uzSIGT

#和小米一起去旅行",,430,31
2017-07-01 23:33:00+00:00,360450250740751_1288538364598597,"在有「限」的運動時間裡，也能體驗無「線」的運動快感。#小米運動藍牙耳機，一款專為運動愛好者設計的耳機。

7/4 週二上午10:00 mi.com 開賣！

遇見夏天 #小米旅行季 7/4-7/11 Coming Soon!",,485,9
2017-06-30 23:43:00+00:00,360450250740751_1341065156012584,"#小米Max2 大螢幕更大電量，最長可以使用兩天✨，你想要拿小米Max 2看影片？聽音樂？還是玩遊戲呢？

下週四 7/6 中午火熱開賣 ⏩⏩bit.ly/2sLfjSK",,938,12
2017-06-29 23:46:00+00:00,360450250740751_1339917336127366,"小米降噪耳機 Type-C版 降噪與音樂性能兼顧的聲學架構，50-2000Hz 寬頻主動降噪，讓你隨時隨地，不受干擾安靜聆聽好聲音。

mi.com 販售中 👉🏻 bit.ly/2tQuCIy",,434,4
2017-06-28 23:31:00+00:00,360450250740751_1338771639575269,"美，是我的眼裡只有你

拍衣服、拍麻豆，設計師工作必備好相機，#小米6變焦雙攝拍人更美
夢幻般的四曲面機身，7月中旬開賣。你想要亮藍版還是陶瓷尊享版呢？",,484,7
2017-06-28 09:59:31+00:00,360450250740751_1338701376248962,昨天的夏季新品發佈會，正式推出年度旗艦級手機 #小米6、大螢幕手機標竿 #小米Max2，以及夏日玩水必備 #米家全景相機 💦 來看看現場的清涼畫面😎,小米台灣 Mi Taiwan added 8 new photos to the album: 2017 小米台灣夏季新品發佈會.,364,9
2017-06-27 23:29:00+00:00,360450250740751_1337638849688548,"【 小米Max 2 大螢幕更大電量 】
大螢幕大震撼，售價 NT$ 7,499 👉🏻 bit.ly/2sLfjSK
哪一點你最喜歡？
👍🏻 6.44” 大螢幕，看什麼都震撼
❤️ 5300mAh 行動電源級的大電量
😆 輕薄全金屬，單手可握的大螢幕手機
😮 大像素相機 / 4GB 大記憶體 / Snapdragon™ 八核處理器

還有 小米Max 2 標準高透保護貼唷！bit.ly/2shohUz",,539,23
2017-06-27 10:14:09+00:00,360450250740751_1337613786357721,"【小米6 變焦雙攝 拍人更美 】
6GB+128GB 亮藍版 NT$ 12,699
6GB+128GB 陶瓷尊享版 NT$ 12,999 
7月中旬 mi.com 開賣 ✨ bit.ly/2tdNCml

① 變焦雙攝與 4 軸 OIS 光學防手震
② 12MP 廣角鏡頭 / 12MP 長焦鏡頭
③ 四曲面陶瓷 / 玻璃
④ 5.15 吋護眼螢幕
⑤ Snapdragon™ 835 旗艦行動平台",,87,15
2017-06-27 07:38:40+00:00,360450250740751_1337496289702804,"【 小米台灣夏季新品 新鮮登台 】
⭐️ 小米6 ： 7月中旬 mi.com 開賣、遠傳電信獨家開賣 
⭐️ 小米Max 2、米家全景相機、 小米降噪耳機Type C版：明天6月28日中午 mi.com 首賣！小米Max 2 中華電信、遠傳電信、台灣之星7月1日開賣！",小米台灣 Mi Taiwan added 4 new photos.,1115,49
2017-06-27 06:39:40+00:00,360450250740751_1337261359726297,"【 小米台灣夏季新品 四大新品亮點 】
⭐️ 小米6變焦雙攝，拍人更美。陶瓷尊享版，相機裝飾環18K鍍金，精緻優雅。無孔式指紋辨識、無耳機孔設計...等設計展現小米7年工藝的夢幻之作。 

⭐️ 小米Max 2全金屬機身，螢幕黑邊比上一代減少53%，大螢幕看什麼都過癮！5300mAh超大電量，至少2天用爽爽！

⭐️ 米家全景相機超廣角大光圈鏡頭 + 反射稜鏡，死角更小拍的更多。IP67 防水防塵，夏季出遊必備，輕鬆上傳Facebook，分享360° 生活！

⭐️ 小米降噪耳機Type C版，USB Type-C 接口，降噪與音樂性能兼顧的聲學架構。",小米台灣 Mi Taiwan added 16 new photos.,937,38
2017-06-27 05:45:29+00:00,360450250740751_1337412003044566,"【 小米台灣夏季新品發佈會 看直播抽新品✨】
夏天的小米新品來了，觀看直播留言發佈會發表了哪幾款新品，就抽一台小米Max 2！
分享本文邀請朋友一起來看！",小米台灣 Mi Taiwan was live.,2596,924
2017-06-27 04:42:45+00:00,360450250740751_1337366553049111,"小米台灣夏季新品發佈會，今天下午2點給你所有最想要的小米新品！
發佈會期間在直播中留言還有機會贏得小米Max 2，敬請期待！

直播頻道：
小米台灣 FB bit.ly/2sliel1（按下連結接受直播提醒）
小米台灣官網 mi.com
小米台灣 Youtube bit.ly/2tHzH55",小米台灣 Mi Taiwan added 6 new photos.,662,13
2017-06-26 03:59:12+00:00,360450250740751_1333786726740427,"【 小米台灣夏季新品發佈會 米家全景相機✨ 】
以前，朋友聚會拍照排排站，超無趣
現在，有了 #米家全景相機，我們可以這樣玩😎
分享＋回答 “影片中有幾個人? ""就抽小米自拍桿 3 支！

上傳Youtube長這樣 👉🏻 bit.ly/2tb252W 
360° 全景防水，精彩一拍即得 #米家全景360度玩起來

倒數1天，新品資訊搶先看 ⭐️ bit.ly/2tHfIDy

6/27觀看直播還有機會抽到小米Max 2，快點邀請朋友一起鎖定！
直播頻道：
小米台灣 FB bit.ly/2sliel1（按下連結接受直播提醒）
小米台灣官網 mi.com
小米台灣 Youtube bit.ly/2tHzH55",,1206,452
2017-06-24 23:37:00+00:00,360450250740751_1332240813561685,"【 小米台灣夏季新品發佈會 米家全景相機 ✨ 360° 全景防水 】
從今年夏天開始，留住360° 完整的回憶！米家全景相機 IP67防水防塵，上山下海這一台，在Facebook分享你的360° 精彩生活 😎  猜猜看售價多少？

倒數2天，新品資訊搶先看 ⭐️ bit.ly/2tHfIDy

6/27觀看直播還有機會抽到小米Max 2，快點邀請朋友一起鎖定！
直播頻道：
小米台灣 FB bit.ly/2sliel1（按下連結接受直播提醒）
小米台灣官網 mi.com
小米台灣 Youtube bit.ly/2tHzH55",,1510,54
2017-06-23 23:38:00+00:00,360450250740751_1333934906725609,"【 小米台灣夏季新品發佈會 小米Max 2✨ 雙功放立體聲 】
雙功放立體聲揚聲器，畫面震撼，聲音更震撼！
橫向螢幕時自動切換立體聲，兩個喇叭同時工作，帶來最立體的音效 🎶

倒數3天，新品資訊搶先看 ⭐️ bit.ly/2tHfIDy

6/27觀看直播還有機會抽到小米Max 2，快點邀請朋友一起鎖定！
直播頻道：
小米台灣 FB bit.ly/2sliel1（按下連結接受直播提醒）
小米台灣官網 mi.com
小米台灣 Youtube bit.ly/2tHzH55",,658,13
2017-06-22 23:28:00+00:00,360450250740751_1331040830348350,"【 小米台灣夏季新品發佈會 小米Max 2✨ 大螢幕更大電量 】
6.44吋螢幕，大！
5300mAh電量，大到比行動電源還大！
在大螢幕上玩什麼遊戲最爽？

倒數4天，新品資訊搶先看 ⭐️ bit.ly/2tHfIDy

6/27觀看直播還有機會抽到小米Max 2，快點邀請朋友一起鎖定！
直播頻道：
小米台灣 FB bit.ly/2sliel1（按下連結接受直播提醒）
小米台灣官網 mi.com
小米台灣 Youtube bit.ly/2tHzH55",,980,27
2017-06-22 04:12:03+00:00,360450250740751_1332703263515440,"【 小米台灣夏季新品發佈會 留言抽小米6✨ 】
夏天的小米新品來了：小米6 變焦雙攝、拍人更美，小米Max 2大螢幕更大電量，米家全景相機360度全景防水...還有更多新品6/27即將登台，你最想要什麼？

6/27觀看直播有機會抽到小米Max 2，快點邀請朋友一起鎖定！
直播頻道：
小米台灣 FB bit.ly/2sliel1（按下連結接受直播提醒）
小米台灣官網 mi.com
小米台灣 Youtube bit.ly/2tHzH55",小米台灣 Mi Taiwan updated their cover photo.,417,40
2017-06-22 03:15:32+00:00,360450250740751_1332674036851696,"對於米家掃地機器人詳盡問答通通在這，想要了解最新、最深入的米家產品資訊一定要like 米家台灣 MIJIA Taiwan 啊！

#米家掃地機器人 今天中午 mi.com 開賣，走過路過不要錯過 🎉",小米台灣 Mi Taiwan shared 米家台灣 MIJIA Taiwan's post.,243,0
2017-06-21 23:32:00+00:00,360450250740751_1332087903576976,"【 小米台灣夏季新品發佈會 小米6 ✨ Snapdragon™ 835 旗艦行動平台】
重新定義什麼叫快！全球第一顆 10 奈米商用晶片，在比一元硬幣還小的面積上，搭載超過 30 億個電晶體。較上一代尺寸減小 35%，功耗降低 25%，更有超乎想象的性能提升！

倒數5天，新品資訊搶先看 👉🏻  bit.ly/2tHfIDy

6/27觀看直播還有機會抽到小米Max 2，快點邀請朋友一起鎖定！
直播頻道：
小米台灣 FB bit.ly/2sliel1（按下連結接受直播提醒）
小米台灣官網 mi.com
小米台灣 Youtube bit.ly/2tHzH55",,807,17
2017-06-20 23:39:00+00:00,360450250740751_1329926640459769,"【 小米台灣夏季新品發佈會 小米6✨ 變焦雙攝 】
12MP廣角鏡頭+12MP長焦鏡頭的變焦雙攝，用 小米6 就能拍出單眼相機般的淺景深效果，從此之後，拍人像特寫，隨手一拍都是傑作！你想用小米6拍誰？ 

倒數6天，更多新品即將登台 ⭐️  bit.ly/2tHfIDy 

6/27觀看直播還有機會抽到小米Max 2，快點邀請朋友一起鎖定！
直播頻道：
小米台灣 FB bit.ly/2sliel1（按下連結接受直播提醒）
小米台灣官網 mi.com
小米台灣 Youtube bit.ly/2tHzH55",,749,18
2017-06-20 12:16:06+00:00,360450250740751_1331030753682691,"【 小米台灣夏季新品發佈會 留言抽小米6✨ 】
夏天的小米新品來了：小米6 變焦雙攝、拍人更美，小米Max 2大螢幕更大電量，米家全景相機360度全景防水...還有更多新品6/27即將登台，你最想要什麼？

6/27觀看直播有機會抽到小米Max 2，快點邀請朋友一起鎖定！
直播頻道：
小米台灣 FB bit.ly/2sliel1（按下連結接受直播提醒）
小米台灣官網 mi.com
小米台灣 Youtube bit.ly/2tHzH55",小米台灣 Mi Taiwan updated their cover photo.,587,32
2017-06-20 06:48:46+00:00,360450250740751_1330833097035790,"【 小米台灣夏季新品發佈會 留言抽小米6✨ 】
夏天的小米新品來了：小米6 變焦雙攝、拍人更美，小米Max 2大螢幕更大電量，米家全景相機360度全景防水...還有更多新品6/27即將登台，你最想要什麼？

6/27前留言@兩位朋友「小米台灣夏季新品我最想要＿＿＿，@朋友1 @朋友2 你想要什麼？」+ 分享本文，就抽小米6 陶瓷尊享版一台！
6/27觀看直播還有機會抽到小米Max 2，快點邀請朋友一起鎖定！

直播頻道：
小米台灣 FB bit.ly/2sliel1（按下連結接受直播提醒）
小米台灣官網 mi.com
小米台灣 Youtube bit.ly/2tHzH55",,5274,2956
2017-06-20 04:10:00+00:00,360450250740751_1330702673715499,"小米Max 2 新色曝光啦！
如果要給它一個名稱，你覺得這是＿＿黑？

#小米台灣夏季新品發佈會6月27日見

更多新品資訊就在 小米台灣 Mi Taiwan !",小米台灣 Mi Taiwan shared Henman Lee 李佳峰's video.,753,0
2017-06-18 23:43:00+00:00,360450250740751_1325103720942061,"【 小米行動電源20000 2代 新品開賣 】 
大容量雙 USB 輸出、雙向快充，單口輸出時支援QC3.0，充電效率更高！⚡⚡ 卻比上一代更輕更小，只有330.5克重。
你曾經因為手機沒電而發生什麼事嗎？😣  6/20前分享此文並留言，就抽一台新品送給你。
 6/20 明天中午 mi.com首賣 bit.ly/2tDmmuh",,3320,2156
2017-06-17 23:33:00+00:00,360450250740751_1325129637606136,"紅米Note 4X、米家掃地機器人、小米行動電源、小米手環......，這麼多小米商品都想要怎麼辦？😂😂😂
小米官網消費滿$800，刷玉山銀行信用卡，即享3期0利率，買得沒有壓力，給你更棒的購物體驗！💓 bit.ly/2rh63mr",,745,9
2017-06-16 23:29:00+00:00,360450250740751_1323100337809066,"【 小米6 來了！人像模式 】
相對沒有人像模式的普通手機，小米6的人像模式讓背景虛化，柔和模糊的背景讓淺淺一笑都格外動人，隨手一拍即是雜誌般美照。你喜歡左邊還是右邊呢？ 
6月底 Coming soon!",,506,7
2017-06-15 23:48:00+00:00,360450250740751_1323016887817411,"熱賣中的紅米Note 4X廣受好評👏 5.5吋螢幕，方便單手操作；4100mAh超大電量，長時間追劇、玩遊戲都不是問題；Snapdragon™ 625處理器，性能強大穩定！超出預期的使用者體驗，你最喜歡哪一點? 🏃🏃🏃  bit.ly/2lgVZJq

#紅米Note4X 3GB+32GB、4GB+64GB 香檳金、磨砂黑，下週二 6/20 中午 mi.com 開賣！",,620,19
2017-06-14 23:33:00+00:00,360450250740751_1323094541142979,"【 小米6 來了！生活防潑濺】
小米6 每個開孔都進行了獨立的密封設計，不小心灑水在手機上也不怕，生活防潑濺讓愛機更有保護。你有灑過水或飲料在手機上的經驗嗎？
6月底 Coming soon!",,1105,15
2017-06-13 23:42:00+00:00,360450250740751_1319339288185171,"小米行動電源10000高配版支援QC3.0，雙向18W 快速充電，僅12.58mm薄，輕巧好攜。繼經典金色外，推出質感灰色，你喜歡哪個顏色？
質感灰色按👍
經典金色按❤️ 
下週二 6/20 中午質感灰色 mi.com 開賣！",,1210,12
2017-06-12 23:37:00+00:00,360450250740751_1319090471543386,"【 小米6 來了！變焦雙攝 拍人更美 】
小米6 實拍樣片，長焦鏡頭拍人像＋廣角鏡頭拍風景，人像模式開啟後，背景虛化拍出類單眼效果，怎麼拍都美。
6月底 Coming soon!",小米台灣 Mi Taiwan added 4 new photos.,614,8
2017-06-11 23:36:00+00:00,360450250740751_1318023864983380,"紅米Note 4X 要開賣啦📣 Snapdragon™ 625 處理器性能強大穩定，弧線金屬機身的多彩顏色讓你與眾不同！

紅米Note 4X香檳金色 3GB+32GB/ 4GB+64GB 明天 6/13 中午 mi.com 開賣✨ bit.ly/2lgVZJq",,808,21
2017-06-10 23:35:00+00:00,360450250740751_1319343084851458,熱播韓劇《鬼怪》，不管是第一次追劇或是想再複習一遍，#小米盒子 都幫你準備好了，買小米盒子贈愛奇藝VIP季卡，輕鬆看多元戲劇節目👀，精采不錯過，想要的請按👍！,,330,2
2017-06-09 23:27:00+00:00,360450250740751_1255917667860667,"解析度越高，記錄的細節就越多。即使放大再放大，細節依舊清晰。 #小米Note2 的2256萬像素相機，超高解析度畫質，展現震撼人心的照片細節。內建電子防手震，隨時拍攝4K影片。

限時優惠 NT$15999，把握機會掌握旗艦  👉 bit.ly/2pVUj8f",,463,10
2017-06-08 23:35:00+00:00,360450250740751_1319068011545632,"【 小米6 來了！四曲面夢幻機身 】
在探索的路上不斷突破，小米7年來工藝探索的極致融合，四曲面玻璃以及首創四曲面陶瓷工藝，與不鏽鋼高亮邊框設計，流光溢彩。
6月底 Coming soon!",,2919,175
2017-06-07 23:27:00+00:00,360450250740751_1317949308324169,"【 小米網熱賣 5月Top 5🖐️】
小米網暢銷熱賣商品報你知！
5月冠軍由4月冠軍小米手環 2繼續蟬聯。口碑爆棚、好評不斷的米家掃地機器人持續熱賣，奪得Top 2。
Top 3 是小米行動電源家族中的新成員，小米行動電源10000 2代。
Top 4、5 分別由支援QC3.0快速充電的小米行動電源10000 QC3.0 高配版以及超大電量的小米行動電源20000 拿下。
說說你想擁有Top 5中的哪些呢？😉",小米台灣 Mi Taiwan added 3 new photos — with 黃素姬.,604,7
2017-06-06 23:32:01+00:00,360450250740751_1291306084321825,小米路由器 3擁有4根全向高效能天線搭配128MB超大Flash，覆蓋範圍更廣，訊號更好，穩定連接的裝置更多。一台 #小米路由器3 ，看電影、玩遊戲，全家的需求都照顧得到！,,410,6
2017-06-05 23:29:00+00:00,360450250740751_1283086775143756,"有別於一般LED硬性螢幕不能彎曲貼合於曲面機身， #小米Note2 採用OLED柔性螢幕，可以彎曲的特性，讓螢幕緊密貼合在曲面玻璃。
機身擁有高達77.2%的顯示面積，視覺體驗具延展性，畫面及光影彷彿在曲面上流動，極具巧思又設計感十足！

限時優惠 NT$15999，把握機會掌握旗艦 👉 bit.ly/2pVUj8f",小米台灣 Mi Taiwan with Irene Ong.,418,5
2017-06-04 23:33:00+00:00,360450250740751_1314754218643678,"#紅米Note4X 多彩金屬、4100mAh超長續航力、1300萬像素相機、5.5吋full HD高畫質螢幕，你最喜歡什麼呢？
明天(6/6)中午 mi.com 開賣👉3GB+32GB香檳金色👈",,561,20
2017-06-03 23:31:00+00:00,360450250740751_1283138291805271,"#小米圈鐵耳機 將動圈＋動鐵發聲單元置入到同一耳機中，追求更細膩的聽感。動圈中低音醇厚，聽搖滾樂時，鼓點和貝斯聲使人熱血沸騰。動鐵高音輕亮，吉他琴弦的泛音清晰悅耳。用小米圈鐵耳機重聽經典，會發現耳目一新的驚喜。

你現在想聽哪一首經典老歌？",,214,1
2017-06-02 23:29:00+00:00,360450250740751_1295215533930880,#小米頭戴式耳機升級版 可以輕鬆被折疊收納，摺疊後平面面積僅相當於一台小米Note 的尺寸。 240g 輕的小米頭戴式耳機，約是一頂帽子的重量，可以輕鬆放進包裡，皮革硬殼收納包也防止了耳機被硬物壓壞。,,279,2
2017-06-02 03:59:38+00:00,360450250740751_1312483202204113,"👏人氣、口碑爆棚，好評不斷👏的 #米家掃地機器人 ，看看用過的人都怎麼說？

趕快到米家台灣粉絲專頁，加入分享曬圖的行列！🙋有機會獲得全套米家掃地機器人配件喔！",小米台灣 Mi Taiwan shared 米家台灣 MIJIA Taiwan's post.,450,0
2017-06-01 23:32:00+00:00,360450250740751_1297261783726255,"常常在辦公室加班，忙到忘記時間？😵
抬起 #小米手環2 就會顯示時間，「久坐提醒功能」還會自動偵測並提醒你起身活動筋骨，放鬆充電一下！🚶🚶🚶",,386,4
